Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
damiao-dm-j4310,DAMIAO DM-J4310-2EC,"<p>The workhorse of a lightweight research arm. A 4310-frame BLDC with an integrated FOC driver, a 10:1 planetary stage and encoders on both the rotor and the output, so the controller knows where the joint is even after the gearbox winds up.</p><ul><li>Dual encoder — rotor and output, so backlash is observed, not assumed</li><li>MIT impedance mode: position, velocity, kp, kd and feed-forward torque in one frame</li><li>Driver integrated into the housing — CAN in, torque out, no external ESC</li><li>Six of these sit in every MABEL arm pair</li></ul><h3>Performance</h3><table><tr><th>Rated torque</th><td>3.5 N·m</td></tr><tr><th>Peak torque</th><td>10 N·m</td></tr><tr><th>Reduction</th><td>10:1 planetary</td></tr><tr><th>Max speed</th><td>30 rad/s</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual — rotor + output, magnetic</td></tr><tr><th>Resolution</th><td>14-bit per encoder</td></tr><tr><th>Control modes</th><td>MIT impedance · position · velocity · torque</td></tr><tr><th>Bus</th><td>CAN 2.0A, up to 1 Mbit/s</td></tr><tr><th>Loop rate</th><td>Up to 1 kHz per joint</td></tr></table><h3>Physical</h3><table><tr><th>Mass</th><td>300 g</td></tr><tr><th>Outer diameter</th><td>43 mm</td></tr><tr><th>Output</th><td>Bolt-circle flange, 6 × M3</td></tr><tr><th>Connector</th><td>4-pin power + CAN pigtail</td></tr></table>",DAMIAO,,actuators,"mabel,arm,neck,can,mit-mode",TRUE,Title,Default Title,MR-ACT-4310,shopify,continue,manual,119.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/damiao-dm-j4310.svg,DAMIAO DM-J4310-2EC,active
damiao-dm4340,DAMIAO DM4340,"<p>A step up in torque for shoulder roll and elbow. Same integrated-driver architecture as the 4310, same CAN protocol, roughly three times the continuous torque.</p><ul><li>9 N·m rated — sized for shoulder roll and elbow on a 7-DOF arm</li><li>Drop-in protocol compatibility with the rest of the DAMIAO line</li><li>Dual encoder for output-side position truth</li><li>Four per MABEL, two per arm</li></ul><h3>Performance</h3><table><tr><th>Rated torque</th><td>9 N·m</td></tr><tr><th>Peak torque</th><td>27 N·m</td></tr><tr><th>Reduction</th><td>Integrated planetary</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual — rotor + output</td></tr><tr><th>Control modes</th><td>MIT impedance · position · velocity · torque</td></tr><tr><th>Bus</th><td>CAN 2.0A, up to 1 Mbit/s</td></tr></table><h3>Physical</h3><table><tr><th>Frame</th><td>43 mm class</td></tr><tr><th>Output</th><td>Flanged, bolt circle</td></tr><tr><th>Connector</th><td>Power + CAN pigtail</td></tr></table>",DAMIAO,,actuators,"mabel,arm,can,mit-mode",TRUE,Title,Default Title,MR-ACT-4340,shopify,continue,manual,169.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/damiao-dm4340.svg,DAMIAO DM4340,active
damiao-dm8009p,DAMIAO DM8009P,"<p>The shoulder joint. Where a 4310 runs out of authority — carrying a whole arm at full extension — the 8009P takes over with four times the torque in an 80 mm frame.</p><ul><li>40 N·m — holds a loaded arm horizontal without creeping</li><li>V4 hardware with the integrated driver and dual encoders</li><li>Shoulder pitch and yaw on both MABEL arms use this module</li><li>Same CAN frame format as every other DAMIAO joint</li></ul><h3>Performance</h3><table><tr><th>Peak torque</th><td>40 N·m</td></tr><tr><th>Reduction</th><td>Integrated planetary</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr><tr><th>Hardware revision</th><td>V4</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual — rotor + output</td></tr><tr><th>Control modes</th><td>MIT impedance · position · velocity · torque</td></tr><tr><th>Bus</th><td>CAN 2.0A, up to 1 Mbit/s</td></tr></table><h3>Physical</h3><table><tr><th>Frame</th><td>80 mm class</td></tr><tr><th>Output</th><td>Flanged, bolt circle</td></tr><tr><th>Connector</th><td>Power + CAN pigtail</td></tr></table>",DAMIAO,,actuators,"mabel,arm,shoulder,can,mit-mode",TRUE,Title,Default Title,MR-ACT-8009,shopify,continue,manual,359.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/damiao-dm8009p.svg,DAMIAO DM8009P,active
damiao-dm10422p,DAMIAO DM10422P,"<p>A torso-scale joint. Hollow-shaft planetary reduction with dual inductive encoders — the bore lets the arm and head harness pass straight through the joint instead of looping around it.</p><ul><li>400 N·m — tilts an entire upper body under load</li><li>Hollow shaft: route power and CAN through the axis of rotation</li><li>Dual inductive encoders, immune to the magnetic clutter of a motor housing</li><li>MABEL's torso-pitch joint</li></ul><h3>Performance</h3><table><tr><th>Rated torque</th><td>400 N·m</td></tr><tr><th>Reduction</th><td>Hollow-shaft planetary</td></tr><tr><th>Rated voltage</th><td>24–48 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual inductive, high precision</td></tr><tr><th>Control modes</th><td>Position · velocity · torque</td></tr><tr><th>Bus</th><td>CAN 2.0A</td></tr></table><h3>Physical</h3><table><tr><th>Through bore</th><td>Hollow shaft for harness pass-through</td></tr><tr><th>Output</th><td>Large-diameter bolt circle</td></tr></table>",DAMIAO,,actuators,"mabel,torso,can,hollow-shaft",TRUE,Title,Default Title,MR-ACT-10422,shopify,continue,manual,379.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/damiao-dm10422p.svg,DAMIAO DM10422P,active
unitree-go-m8010-6,Unitree GO-M8010-6,"<p>The motor that made low-cost legged robots possible. A 6.33:1 planetary stage keeps the reflected inertia low enough for genuine torque control, so the leg feels the ground rather than fighting it.</p><ul><li>Quasi-direct drive — low gearing, high backdrivability</li><li>23.7 N·m peak from a 485 g package</li><li>RS-485 daisy chain, up to 15 motors on one bus</li><li>The standard actuator for quadruped and low-cost humanoid legs</li></ul><h3>Performance</h3><table><tr><th>Peak torque</th><td>23.7 N·m</td></tr><tr><th>Reduction</th><td>6.33:1 planetary</td></tr><tr><th>Max speed</th><td>33.5 rad/s</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>15-bit absolute, rotor side</td></tr><tr><th>Control</th><td>Position · velocity · torque, with kp/kd</td></tr><tr><th>Bus</th><td>RS-485, 4 Mbit/s</td></tr></table><h3>Physical</h3><table><tr><th>Mass</th><td>485 g</td></tr><tr><th>Outer diameter</th><td>80 mm</td></tr><tr><th>Output</th><td>Keyed shaft with pulley flange</td></tr></table>",Unitree,,actuators,"legged,qdd,rs485",TRUE,Title,Default Title,MR-ACT-GO8010,shopify,continue,manual,159.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/unitree-go-m8010-6.svg,Unitree GO-M8010-6,active
unitree-a1,Unitree A1 Motor,"<p>The larger sibling. Same quasi-direct-drive philosophy, more frame, more torque — for hips, knees and anything carrying the mass of a whole robot.</p><ul><li>33.5 N·m peak torque</li><li>9.1:1 planetary reduction</li><li>Fully backdrivable — safe for contact-rich work</li><li>RS-485 with the same protocol as the GO series</li></ul><h3>Performance</h3><table><tr><th>Peak torque</th><td>33.5 N·m</td></tr><tr><th>Reduction</th><td>9.1:1 planetary</td></tr><tr><th>Max speed</th><td>21 rad/s</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>15-bit absolute</td></tr><tr><th>Control</th><td>Position · velocity · torque</td></tr><tr><th>Bus</th><td>RS-485</td></tr></table><h3>Physical</h3><table><tr><th>Mass</th><td>605 g</td></tr><tr><th>Outer diameter</th><td>88 mm</td></tr></table>",Unitree,,actuators,"legged,qdd,rs485",TRUE,Title,Default Title,MR-ACT-A1,shopify,continue,manual,309.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/unitree-a1.svg,Unitree A1 Motor,active
xiaomi-cybergear-rs01,Xiaomi CyberGear RS-01,"<p>Xiaomi's micro-motor, sold openly and documented well. A 7.75:1 planetary stage, an integrated driver and a genuine impedance mode in a package small enough for a wrist.</p><ul><li>12 N·m peak from a 317 g motor</li><li>Impedance, position, velocity and current modes over CAN</li><li>Published protocol and a maintained SDK</li><li>A clean entry point for small arms and grippers</li></ul><h3>Performance</h3><table><tr><th>Rated torque</th><td>4 N·m</td></tr><tr><th>Peak torque</th><td>12 N·m</td></tr><tr><th>Reduction</th><td>7.75:1 planetary</td></tr><tr><th>Max speed</th><td>297 rpm</td></tr><tr><th>Rated voltage</th><td>24 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>14-bit magnetic</td></tr><tr><th>Control modes</th><td>Impedance · position · velocity · current</td></tr><tr><th>Bus</th><td>CAN 2.0, 1 Mbit/s</td></tr></table><h3>Physical</h3><table><tr><th>Mass</th><td>317 g</td></tr><tr><th>Outer diameter</th><td>60 mm</td></tr></table>",Xiaomi,,actuators,"compact,can,mit-mode",TRUE,Title,Default Title,MR-ACT-RS01,shopify,continue,manual,129.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/xiaomi-cybergear-rs01.svg,Xiaomi CyberGear RS-01,active
xiaomi-cybergear-rs03,Xiaomi CyberGear RS-03,"<p>The high-torque CyberGear. Same protocol and tooling as the RS-01, scaled up for hips, shoulders and anything that has to hold a load statically.</p><ul><li>60 N·m peak torque</li><li>Shares the RS-01 CAN protocol and SDK</li><li>Integrated driver — no external ESC</li><li>For legs, shoulders and torso joints</li></ul><h3>Performance</h3><table><tr><th>Peak torque</th><td>60 N·m</td></tr><tr><th>Reduction</th><td>Integrated planetary</td></tr><tr><th>Rated voltage</th><td>48 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoder</th><td>Magnetic absolute</td></tr><tr><th>Control modes</th><td>Impedance · position · velocity · current</td></tr><tr><th>Bus</th><td>CAN 2.0</td></tr></table><h3>Physical</h3><table><tr><th>Frame</th><td>90 mm class</td></tr></table>",Xiaomi,,actuators,"can,mit-mode",TRUE,Title,Default Title,MR-ACT-RS03,shopify,continue,manual,349.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/xiaomi-cybergear-rs03.svg,Xiaomi CyberGear RS-03,active
eyou-phu17h-80,EYou PHU17H-80,"<p>A harmonic-drive joint for work where backlash is not negotiable — camera motion, metrology, any arm whose repeatability is the specification. Strain-wave reduction means near-zero backlash and a hollow bore straight through the axis.</p><ul><li>Strain-wave (harmonic) reduction — near-zero backlash</li><li>101:1 in a single stage</li><li>CANopen CiA 402, so it drops into an existing motion stack</li><li>Hollow bore for through-axis cable routing</li></ul><h3>Performance</h3><table><tr><th>Reduction</th><td>101:1 strain wave</td></tr><tr><th>Backlash</th><td>Near zero, by construction</td></tr><tr><th>Rated voltage</th><td>48 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual — motor + output</td></tr><tr><th>Protocol</th><td>CANopen, CiA 402 profile</td></tr><tr><th>Default node ID</th><td>1 (configurable, object 0x26A0)</td></tr></table><h3>Physical</h3><table><tr><th>Frame size</th><td>17</td></tr><tr><th>Through bore</th><td>Hollow output shaft</td></tr></table>",EYou,,actuators,"harmonic,canopen,zero-backlash,cinema",TRUE,Title,Default Title,MR-ACT-PHU17,shopify,continue,manual,1199.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/eyou-phu17h-80.svg,EYou PHU17H-80,active
eyou-phu20h-100,EYou PHU20H-100,"<p>One frame size up from the PHU17H. For the proximal joints of a long-reach arm, where the joint carries every link outboard of it.</p><ul><li>Larger frame for base and shoulder joints</li><li>100:1 strain-wave reduction, near-zero backlash</li><li>CANopen CiA 402</li><li>Hollow output shaft</li></ul><h3>Performance</h3><table><tr><th>Reduction</th><td>100:1 strain wave</td></tr><tr><th>Backlash</th><td>Near zero</td></tr><tr><th>Rated voltage</th><td>48 V DC</td></tr></table><h3>Feedback & control</h3><table><tr><th>Encoders</th><td>Dual — motor + output</td></tr><tr><th>Protocol</th><td>CANopen, CiA 402 profile</td></tr></table><h3>Physical</h3><table><tr><th>Frame size</th><td>20</td></tr><tr><th>Through bore</th><td>Hollow output shaft</td></tr></table>",EYou,,actuators,"harmonic,canopen,zero-backlash,cinema",TRUE,Title,Default Title,MR-ACT-PHU20,shopify,continue,manual,1499.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/eyou-phu20h-100.svg,EYou PHU20H-100,active
